c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 abbiamo visitato la nuova sede ., noi apprezziamo lo spazio moderno ., apprezziamo lo spazio moderno ., we reviewed the contract ., we agree with the terms ., agree with the terms ., apprezziamo, agree
 abbiamo esaminato il contratto ., noi concordiamo con i termini ., concordiamo con i termini ., we visited the new office ., we appreciate the modern space ., appreciate the modern space ., concordiamo, appreciate
 abbiamo provato il ristorante ., noi preferiamo i piatti tradizionali ., preferiamo i piatti tradizionali ., we listened to the presentation ., we share his conclusions ., share his conclusions ., preferiamo, share
 abbiamo ascoltato la presentazione ., noi condividiamo le sue conclusioni ., condividiamo le sue conclusioni ., we tried the restaurant ., we prefer the traditional dishes ., prefer the traditional dishes ., condividiamo, prefer
 abbiamo ricevuto il feedback ., noi accettiamo le critiche costruttive ., accettiamo le critiche costruttive ., we discussed the project ., we support this strategy ., support this strategy ., accettiamo, support
 abbiamo discusso il progetto ., noi sosteniamo questa strategia ., sosteniamo questa strategia ., we received the feedback ., we accept the constructive criticism ., accept the constructive criticism ., sosteniamo, accept
 abbiamo analizzato i dati ., noi confermiamo le tendenze iniziali ., confermiamo le tendenze iniziali ., we finished the workout ., we feel our muscles tired ., feel our muscles tired ., confermiamo, feel
 abbiamo finito l ’ allenamento ., noi sentiamo i muscoli affaticati ., sentiamo i muscoli affaticati ., we analyzed the data ., we confirm the initial trends ., confirm the initial trends ., sentiamo, confirm
 abbiamo incontrato il team ., noi notiamo una grande collaborazione ., notiamo una grande collaborazione ., we watched the documentary ., we believe in its message ., believe in its message ., notiamo, believe
 abbiamo visto il documentario ., noi crediamo nel suo messaggio ., crediamo nel suo messaggio ., we met the team ., we notice great teamwork ., notice great teamwork ., crediamo, notice
 abbiamo pianificato la riunione ., noi suggeriamo un orario diverso ., suggeriamo un orario diverso ., we overcame the obstacles ., we celebrate this success ., celebrate this success ., suggeriamo, celebrate
 abbiamo superato gli ostacoli ., noi celebriamo questo successo ., celebriamo questo successo ., we planned the meeting ., we suggest a different time ., suggest a different time ., celebriamo, suggest
