c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 hai perso qualcosa ?, ci è la chiave che mancava ., è la chiave che mancava .,  were you looking for someone ?,  it is the guy you were looking for .,  is the guy you were looking for ., è, is
 cercavi qualcuno ?, ci è il ragazzo che cercavi ., è il ragazzo che cercavi .,  did you lose something ?,  it is the key that was missing .,  is the key that was missing ., è, is
 c ’ è rumore in strada ., ci è un ’ auto che suona il clacson ., è un ’ auto che suona il clacson .,  volunteers are needed .,  it is he who can help .,  is he who can help ., è, is
 servono volontari ., ci è lui che può aiutare ., è lui che può aiutare .,  there ’ s noise in the street .,  it is a car honking its horn .,  is a car honking its horn ., è, is
 serve una soluzione ., ci è questa l ’ idea migliore ., è questa l ’ idea migliore .,  a document is missing .,  it is the passport that ’ s needed .,  is the passport that ’ s needed ., è, is
 manca un documento ., ci è il passaporto che serve ., è il passaporto che serve .,  a solution is needed .,  it is this the best idea .,  is this the best idea ., è, is
 serve più tempo ., ci è oggi il giorno giusto ., è oggi il giorno giusto .,  are you looking for a restaurant ?,  it is the one you like .,  is the one you like ., è, is
 cercate un ristorante ?, ci è quello che vi piace ., è quello che vi piace .,  more time is needed .,  it is today the right day .,  is today the right day ., è, is
 serve un esperto ., ci è marco che sa tutto ., è marco che sa tutto .,  there ’ s a problem .,  it is luca who can fix it .,  is luca who can fix it ., è, is
 c ’ è un problema ., ci è luca che può risolverlo ., è luca che può risolverlo .,  an expert is needed .,  it is marco who knows everything .,  is marco who knows everything ., è, is
 c ’ è confusione ., ci è lei che ha sbagliato ., è lei che ha sbagliato .,  some signatures are missing .,  it is the director who must sign .,  is the director who must sign ., è, is
 mancano delle firme ., ci è il direttore che deve firmare ., è il direttore che deve firmare .,  there ’ s confusion .,  it is her who made a mistake .,  is her who made a mistake ., è, is
