c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 laura è in ufficio ., laura contatta l ’ avvocato e lui prepara il contratto per lei ., laura contatta l ’ avvocato e prepara il contratto per lei ., antonio is in the garden ., antonio calls the gardener and she plants the flowers for him ., antonio calls the gardener and plants the flowers for him ., prepara, plants
 antonio è in giardino ., antonio chiama la giardiniera e lei pianta i fiori per lui ., antonio chiama la giardiniera e pianta i fiori per lui ., laura is in the office ., laura contacts the lawyer and he prepares the contract for her ., laura contacts the lawyer and prepares the contract for her ., pianta, prepares
 elena esce stasera ., elena assume il babysitter e lui accudisce il bambino per lei ., elena assume il babysitter e accudisce il bambino per lei ., marco has a problem ., marco looks for the electrician and she fixes the lights for him ., marco looks for the electrician and fixes the lights for him ., accudisce, fixes
 marco ha un problema ., marco cerca l ’ elettricista e lei ripara la luce per lui ., marco cerca l ’ elettricista e ripara la luce per lui ., elena is going out tonight ., elena hires the babysitter and he watches the child for her ., elena hires the babysitter and watches the child for her ., ripara, watches
 sara lancia un progetto ., sara ingaggia il grafico e lui crea il logo per lei ., sara ingaggia il grafico e crea il logo per lei ., paolo is in the garage ., paolo calls the mechanic and she checks the engine for him ., paolo calls the mechanic and checks the engine for him ., crea, checks
 paolo è in garage ., paolo chiama la meccanica e lei controlla il motore per lui ., paolo chiama la meccanica e controlla il motore per lui ., sara is launching a project ., sara hires the designer and he creates the logo for her ., sara hires the designer and creates the logo for her ., controlla, creates
 anna scrive un libro ., anna contatta il traduttore e lui traduce il testo per lei ., anna contatta il traduttore e traduce il testo per lei ., luca is opening a restaurant ., luca hires the chef and she prepares the menu for him ., luca hires the chef and prepares the menu for him ., traduce, prepares
 luca apre un ristorante ., luca assume la cuoca e lei prepara il menu per lui ., luca assume la cuoca e prepara il menu per lui ., anna is writing a book ., anna contacts the translator and he translates the text for her ., anna contacts the translator and translates the text for her ., prepara, translates
 clara organizza un evento ., clara ingaggia il fotografo e lui scatta le foto per lei ., clara ingaggia il fotografo e scatta le foto per lei ., roberto has a blackout ., roberto calls the electrician and she fixes the lights for him ., roberto calls the electrician and fixes the lights for him ., scatta, fixes
 roberto ha un guasto ., roberto chiama l ’ installatrice e lei ripara la luce per lui ., roberto chiama l ’ installatrice e ripara la luce per lui ., clara is organizing an event ., clara hires the photographer and he takes the photos for her ., clara hires the photographer and takes the photos for her ., ripara, takes
 francesca costruisce una villa ., francesca consulta l ’ architetto e lui disegna i piani per lei ., francesca consulta l ’ architetto e disegna i piani per lei ., giovanni is developing an app ., giovanni hires the programmer and she writes the code for him ., giovanni hires the programmer and writes the code for him ., disegna, writes
 giovanni sviluppa un ’ app ., giovanni assume la programmatrice e lei scrive il codice per lui ., giovanni assume la programmatrice e scrive il codice per lui ., francesca is building a villa ., francesca consults the architect and he draws the plans for her ., francesca consults the architect and draws the plans for her ., scrive, draws
