c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
" marco , vedi il nuovo film stasera .", tu preferisci le trame complesse ., preferisci le trame complesse .," luca , you forget the keys often .", you take the keys before leaving ., take the keys before leaving ., preferisci, take
" luca , dimentichi le chiavi spesso .", tu prendi le chiavi prima di uscire ., prendi le chiavi prima di uscire .," marco , you see the new movie tonight .", you prefer complex plots ., prefer complex plots ., prendi, prefer
" giulia , finisci il rapporto oggi .", tu includi tutti i dati ., includi tutti i dati .," sara , you cook dinner quickly .", you use too many spices ., use too many spices ., includi, use
" sara , cucini la cena velocemente .", tu usi troppe spezie ., usi troppe spezie .," giulia , you finish the report today .", you include all the data ., include all the data ., usi, include
" elena , ascolti la nuova canzone .", tu apprezzi il ritmo ., apprezzi il ritmo .," paolo , you choose the gift tonight .", you consider their tastes ., consider their tastes ., apprezzi, consider
" paolo , scegli il regalo stasera .", tu consideri i suoi gusti ., consideri i suoi gusti .," elena , you listen to the new song .", you appreciate the rhythm ., appreciate the rhythm ., consideri, appreciate
" laura , ordini il cibo per la festa .", tu selezioni piatti vegetariani ., selezioni piatti vegetariani .," roberto , you read the recommended book .", you find the ending surprising ., find the ending surprising ., selezioni, find
" roberto , leggi il libro consigliato .", tu trovi il finale sorprendente ., trovi il finale sorprendente .," laura , you order the food for the party .", you select vegetarian dishes ., select vegetarian dishes ., trovi, select
" chiara , organizzi l ’ evento domani .", tu coordini tutti i dettagli ., coordini tutti i dettagli .," matteo , you complete the puzzle today .", you take only an hour ., take only an hour ., coordini, take
" matteo , completi il puzzle oggi .", tu impieghi solo un ’ ora ., impieghi solo un ’ ora .," chiara , you organize the event tomorrow .", you coordinate all the details ., coordinate all the details ., impieghi, coordinate
" francesca , pianti i fiori oggi .", tu scegli colori vivaci ., scegli colori vivaci .," antonio , you fix the bicycle .", you replace the broken chain ., replace the broken chain ., scegli, replace
" antonio , ripari la bicicletta .", tu sostituisci la catena rotta ., sostituisci la catena rotta .," francesca , you plant the flowers today .", you choose bright colors ., choose bright colors ., sostituisci, choose
