c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 il professore corregge i compiti ., lui rispetta le scadenze ., rispetta le scadenze ., marta won the award ., she shows pride ., shows pride ., rispetta, shows
 marta ha vinto il premio ., lei mostra orgoglio ., mostra orgoglio ., the professor grades assignments ., he respects deadlines ., respects deadlines ., mostra, respects
 paolo ha perso il volo ., lui cerca un taxi ., cerca un taxi ., the car broke down ., it requires repairs ., requires repairs ., cerca, requires
 la macchina si è rotta ., lei richiede riparazioni ., richiede riparazioni ., paolo missed his flight ., he looks for a taxi ., looks for a taxi ., richiede, looks
 il cane abbaia ., lui disturba i vicini ., disturba i vicini ., the meeting ended ., it lasted three hours ., lasts three hours ., disturba, lasts
 la riunione è finita ., lei dura tre ore ., dura tre ore ., the dog barks ., he disturbs the neighbors ., disturbs the neighbors ., dura, disturbs
 il concerto è annullato ., lui costa molto ., costa molto ., sofia buys a gift ., she keeps the gift ., keeps the gift ., costa, keeps
 sofia compra un regalo ., lei tiene il regalo ., tiene il regalo ., the concert is canceled ., it costs a lot ., costs a lot ., tiene, costs
 la pizza brucia ., lei resta nel forno ., resta nel forno ., the child breaks the vase ., he apologizes ., apologizes ., resta, apologizes
 il bambino rompe il vaso ., lui chiede scusa ., chiede scusa ., the pizza burns ., it stays in the oven ., stays in the oven ., chiede, stays
 la lettera arriva ., lei contiene informazioni ., contiene informazioni ., luca forgets his keys ., he returns home ., returns home ., contiente, returns
 luca dimentica le chiavi ., lui torna a casa ., torna a casa ., the letter arrives ., it contains information ., contains information ., torna, contains
