c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 i bambini guardano un cartone ., i bambini dicono che loro finiscono i compiti ., i bambini dicono che finiscono i compiti ., luca orders a pizza ., luca says that he prepares dinner ., luca says that prepares dinner ., finiscono, prepares
 luca ordina una pizza ., luca dice che lui prepara la cena ., luca dice che prepara la cena ., the children watch a cartoon ., the children say that they finish their homework ., the children say that finish their homework ., prepara, finish
 il direttore riceve un messaggio ., il direttore conferma che lui firma il contratto ., il direttore conferma che firma il contratto ., marta drinks a coffee ., marta claims that she reads the newspaper ., marta claims that reads the newspaper ., firma, reads
 marta beve un caffè ., marta afferma che lei legge il giornale ., marta afferma che legge il giornale ., the director receives a message ., the director confirms that he signs the contract ., the director confirms that signs the contract ., legge, signs
 carla compra un libro ., carla ammette che lei scrive una lettera ., carla ammette che scrive una lettera ., the students listen to a lecture ., the students maintain that they study the lesson ., the students maintain that study the lesson ., scrive, study
 gli studenti ascoltano una lezione ., gli studenti sostengono che loro studiano la lezione ., gli studenti sostengono che studiano la lezione ., carla buys a book ., carla admits that she writes a letter ., carla admits that writes a letter ., studiano, writes
 le ragazze ballano in salotto ., le ragazze raccontano che loro cantano una canzone ., le ragazze raccontano che cantano una canzone ., the professor talks with a colleague ., the professor declares that he explains the theorem ., the professor declares that explains the theorem ., cantano, explains
 il professore discute con un collega ., il professore dichiara che lui spiega il teorema ., il professore dichiara che spiega il teorema ., the girls dance in the living room ., the girls recount that they sing a song ., the girls recount that sing a song ., spiega, sing
 i medici parlano al telefono ., i medici spiegano che loro visitano il paziente ., i medici spiegano che visitano il paziente ., paolo runs in the park ., paolo argues that he solves the problem ., paolo argues that solves the problem ., visitano, solves
 paolo corre nel parco ., paolo sostiene che lui risolve il problema ., paolo sostiene che risolve il problema ., the doctors talk on the phone ., the doctors explain that they examine the patient ., the doctors explain that examine the patient ., risolve, examine
 l ' ingegnere viaggia in treno ., l ' ingegnere assicura che lui progetta un ponte ., l ' ingegnere assicura che progetta un ponte ., elena bakes a cake ., elena reveals that she draws a portrait ., elena reveals that draws a portrait ., progetta, draws
 elena cucina una torta ., elena rivela che lei disegna un ritratto ., elena rivela che disegna un ritratto ., the engineer travels by train ., the engineer assures that he designs a bridge ., the engineer assures that designs a bridge ., disegna, designs
