c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 maria è stanca ., maria si siede sul divano e lei accende la tv ., maria si siede sul divano e accende la tv ., luca is hungry ., luca opens the fridge and he takes a sandwich ., luca opens the fridge and takes a sandwich ., accende, takes
 luca ha fame ., luca apre il frigo e lui prende un panino ., luca apre il frigo e prende un panino ., maria is tired ., maria sits on the couch and she turns on the tv ., maria sits on the couch and turns on the tv ., prende, turns
 elena è felice ., elena chiama un ’ amica e lei racconta la notizia ., elena chiama un ’ amica e racconta la notizia ., paolo is sleepy ., paolo turns off the light and he gets into bed ., paolo turns off the light and gets into bed ., racconta, gets
 paolo ha sonno ., paolo spegne la luce e lui si mette a letto ., paolo spegne la luce e si mette a letto ., elena is happy ., elena calls a friend and she shares the news ., elena calls a friend and shares the news ., si mette, shares
 sara ha freddo ., sara indossa un maglione e lei si avvicina al camino ., sara indossa un maglione e si avvicina al camino ., marco is late ., marco runs to the stop and he jumps on the bus ., marco runs to the stop and jumps on the bus ., si avvicina, jumps
 marco è in ritardo ., marco corre alla fermata e lui salta sull ’ autobus ., marco corre alla fermata e salta sull ’ autobus ., sara is cold ., sara puts on a sweater and she moves near the fireplace ., sara puts on a sweater and moves near the fireplace ., salta, moves
 laura è curiosa ., laura apre il pacchetto e lei sorride ., laura apre il pacchetto e sorride ., antonio is nervous ., antonio takes a deep breath and he counts to ten ., antonio takes a deep breath and counts to ten ., sorride, counts
 antonio è nervoso ., antonio fa un respiro profondo e lui conta fino a dieci ., antonio fa un respiro profondo e conta fino a dieci ., laura is curious ., laura opens the package and she smiles ., laura opens the package and smiles ., conta, smiles
 giulia ha sete ., giulia versa un bicchiere d ’ acqua e lei beve ., giulia versa un bicchiere d ’ acqua e beve ., roberto is confused ., roberto reads the instructions and he nods ., roberto reads the instructions and nods ., beve, nods
 roberto è confuso ., roberto legge le istruzioni e lui annuisce ., roberto legge le istruzioni e annuisce ., giulia is thirsty ., giulia pours a glass of water and she drinks ., giulia pours a glass of water and drinks ., annuisce, drinks
 francesca è sorpresa ., francesca alza le sopracciglia e lei sussurra ., francesca alza le sopracciglia e sussurra ., carlo is bored ., carlo picks up a book and he starts reading ., carlo picks up a book and starts reading ., sussurra, reading
 carlo è annoiato ., carlo prende un libro e lui inizia a leggere ., carlo prende un libro e inizia a leggere ., francesca is surprised ., francesca raises her eyebrows and she whispers ., francesca raises her eyebrows and whispers ., leggere, whispers
