c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 le chiavi sono sparite ., loro erano sul tavolo ieri ., erano sul tavolo ieri ., the tourists missed the bus ., they called a taxi ., called a taxi ., erano, called
 i turisti hanno perso l ’ autobus ., loro hanno chiamato un taxi ., hanno chiamato un taxi ., the keys disappeared ., they were on the table yesterday ., were on the table yesterday ., hanno, were
 i documenti sono pronti ., loro saranno firmati domani ., saranno firmati domani ., the students protested ., they want more resources ., want more resources ., saranno, want
 gli studenti hanno protestato ., loro vogliono più risorse ., vogliono più risorse ., the documents are ready ., they will be signed tomorrow ., will be signed tomorrow ., vogliono, will
 le piante sono appassite ., loro non hanno avuto acqua ., non hanno avuto acqua ., the children finished their homework ., they can play now ., can play now ., non hanno, can
 i bambini hanno finito i compiti ., loro possono giocare ora ., possono giocare ora ., the plants wilted ., they didn ’ t get water ., didn ’ t get water ., possono, didn ' t
 le finestre erano aperte ., loro hanno lasciato entrare il freddo ., hanno lasciato entrare il freddo ., the colleagues criticized the plan ., they prefer another option ., prefer another option ., hanno, prefer
 i colleghi hanno criticato il piano ., loro preferiscono un ’ altra opzione ., preferiscono un ’ altra opzione ., the windows were open ., they let the cold in ., let the cold in ., preferiscono, let
 le email contengono errori ., loro devono essere corrette ., devono essere corrette ., the guests have arrived ., they are waiting in the lounge ., are waiting in the lounge ., devono, are
 gli ospiti sono arrivati ., loro stanno aspettando in sala ., stanno aspettando in sala ., the emails contain mistakes ., they need to be corrected ., need to be corrected ., stanno, need
 le scarpe sono bagnate ., loro hanno preso la pioggia ., hanno preso la pioggia ., the books fell ., they were on the high shelf ., were on the high shelf ., hanno, were
 i libri sono caduti ., loro erano sullo scaffale alto ., erano sullo scaffale alto ., the shoes are wet ., they got caught in the rain ., got caught in the rain ., erano, got
