c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 il testimone ha paura di dire la verità ., l ’ avvocato costringe il testimone lui mentire ., l ’ avvocato costringe il testimone mentire ., the patient is exhausted after surgery ., the doctor urges the patient him to rest ., the doctor urges the patient to rest ., mentire, lui
 il paziente è esausto dopo l ’ intervento ., il medico esorta il paziente lui riposare ., il medico esorta il paziente riposare ., the witness is afraid to tell the truth ., the lawyer forces the witness him to lie ., the lawyer forces the witness to lie ., riposare, lui
 i dipendenti lavorano troppo lentamente ., il capo incita i dipendenti loro accelerare ., il capo incita i dipendenti accelerare ., the children are distracted during homework ., the mom obliges the children them to focus ., the mom obliges the children to focus ., accelerare, loro
 i bambini sono distratti durante i compiti ., la mamma obbliga i figli loro concentrarsi ., la mamma obbliga i figli concentrarsi ., the employees work too slowly ., the boss encourages the employees them to speed up ., the boss encourages the employees to speed up ., concentrarsi, loro
 i sospetti cercano di fuggire ., il poliziotto vieta ai sospetti loro scappare ., il poliziotto vieta ai sospetti scappare ., the students don ’ t participate in discussions ., the professor invites the students them to participate ., the professor invites the students to participate ., scappare, loro
 gli studenti non partecipano alle discussioni ., il professore invita gli studenti loro intervenire ., il professore invita gli studenti intervenire ., the suspects are trying to flee ., the policeman forbids the suspects them to flee ., the policeman forbids the suspects to flee ., intervenire, loro
 il cliente esita a firmare il contratto ., l ’ agente spinge il cliente lui firmare ., l ’ agente spinge il cliente firmare ., the coach wants to improve the team ., the coach persuades the players them to train ., the coach persuades the players to train ., firmare, loro
 l ’ allenatore vuole migliorare la squadra ., l ’ allenatore convince i giocatori loro allenarsi ., l ’ allenatore convince i giocatori allenarsi ., the client hesitates to sign the contract ., the agent pushes the client him to sign ., the agent pushes the client to sign ., allenarsi, lui
 i volontari rifiutano di pulire il parco ., l ’ organizzatore persuade i volontari loro collaborare ., l ’ organizzatore persuade i volontari collaborare ., the citizens ignore the new rules ., the government obliges the citizens them to respect them ., the government obliges the citizens to respect them ., collaborare, loro
 i cittadini ignorano le nuove regole ., il governo obbliga i cittadini loro rispettarle ., il governo obbliga i cittadini rispettarle ., the volunteers refuse to clean the park ., the organizer persuades the volunteers them to cooperate ., the organizer persuades the volunteers to cooperate ., rispettarle, loro
 i prigionieri tentano di ribellarsi ., la guardia impedisce ai prigionieri loro reagire ., la guardia impedisce ai prigionieri reagire ., the artist doesn ’ t want to show their paintings ., the gallery owner induces the artist him to exhibit ., the gallery owner induces the artist to exhibit ., reagire, lui
 l ’ artista non vuole mostrare i suoi quadri ., il gallerista induce l ’ artista lui esporre ., il gallerista induce l ’ artista esporre ., the prisoners are trying to rebel ., the guard prevents the prisoners them to react ., the guard prevents the prisoners to react ., esporre, loro
