c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 the children watch a cartoon ., the children say that they finish their homework ., the children say that finish their homework ., luca ordina una pizza ., luca dice che lui prepara la cena ., luca dice che prepara la cena ., finish, prepara
 luca orders a pizza ., luca says that he prepares dinner ., luca says that prepares dinner ., i bambini guardano un cartone ., i bambini dicono che loro finiscono i compiti ., i bambini dicono che finiscono i compiti ., prepares, finiscono
 the director receives a message ., the director confirms that he signs the contract ., the director confirms that signs the contract ., marta beve un caffè ., marta afferma che lei legge il giornale ., marta afferma che legge il giornale ., signs, legge
 marta drinks a coffee ., marta claims that she reads the newspaper ., marta claims that reads the newspaper ., il direttore riceve un messaggio ., il direttore conferma che lui firma il contratto ., il direttore conferma che firma il contratto ., reads, firma
 carla buys a book ., carla admits that she writes a letter ., carla admits that writes a letter ., gli studenti ascoltano una lezione ., gli studenti sostengono che loro studiano la lezione ., gli studenti sostengono che studiano la lezione ., writes, studiano
 the students listen to a lecture ., the students maintain that they study the lesson ., the students maintain that study the lesson ., carla compra un libro ., carla ammette che lei scrive una lettera ., carla ammette che scrive una lettera ., study, scrive
 the girls dance in the living room ., the girls recount that they sing a song ., the girls recount that sing a song ., il professore discute con un collega ., il professore dichiara che lui spiega il teorema ., il professore dichiara che spiega il teorema ., sing, spiega
 the professor talks with a colleague ., the professor declares that he explains the theorem ., the professor declares that explains the theorem ., le ragazze ballano in salotto ., le ragazze raccontano che loro cantano una canzone ., le ragazze raccontano che cantano una canzone ., explains, cantano
 the doctors talk on the phone ., the doctors explain that they examine the patient ., the doctors explain that examine the patient ., paolo corre nel parco ., paolo sostiene che lui risolve il problema ., paolo sostiene che risolve il problema ., examine, risolve
 paolo runs in the park ., paolo argues that he solves the problem ., paolo argues that solves the problem ., i medici parlano al telefono ., i medici spiegano che loro visitano il paziente ., i medici spiegano che visitano il paziente ., solves, visitano
 the engineer travels by train ., the engineer assures that he designs a bridge ., the engineer assures that designs a bridge ., elena cucina una torta ., elena rivela che lei disegna un ritratto ., elena rivela che disegna un ritratto ., designs, disegna
 elena bakes a cake ., elena reveals that she draws a portrait ., elena reveals that draws a portrait ., l ' ingegnere viaggia in treno ., l ' ingegnere assicura che lui progetta un ponte ., l ' ingegnere assicura che progetta un ponte ., draws, progetta
