c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 the professor grades assignments ., he respects deadlines ., respects deadlines ., marta ha vinto il premio ., lei mostra orgoglio ., mostra orgoglio ., respects, mostra
 marta won the award ., she shows pride ., shows pride ., il professore corregge i compiti ., lui rispetta le scadenze ., rispetta le scadenze ., shows, rispetta
 paolo missed his flight ., he looks for a taxi ., looks for a taxi ., la macchina si è rotta ., lei richiede riparazioni ., richiede riparazioni ., looks, richiede
 the car broke down ., it requires repairs ., requires repairs ., paolo ha perso il volo ., lui cerca un taxi ., cerca un taxi ., requires, cerca
 the dog barks ., he disturbs the neighbors ., disturbs the neighbors ., la riunione è finita ., lei dura tre ore ., dura tre ore ., disturbs, dura
 the meeting ended ., it lasted three hours ., lasts three hours ., il cane abbaia ., lui disturba i vicini ., disturba i vicini ., lasts, disturba
 the concert is canceled ., it costs a lot ., costs a lot ., sofia compra un regalo ., lei tiene il regalo ., tiene il regalo ., costs, tiene
 sofia buys a gift ., she keeps the gift ., keeps the gift ., il concerto è annullato ., lui costa molto ., costa molto ., keeps, costa
 the pizza burns ., it stays in the oven ., stays in the oven ., il bambino rompe il vaso ., lui chiede scusa ., chiede scusa ., stays, chiede
 the child breaks the vase ., he apologizes ., apologizes ., la pizza brucia ., lei resta nel forno ., resta nel forno ., apologizes, resta
 the letter arrives ., it contains information ., contains information ., luca dimentica le chiavi ., lui torna a casa ., torna a casa ., contains, torna
 luca forgets his keys ., he returns home ., returns home ., la lettera arriva ., lei contiene informazioni ., contiene informazioni ., returns, contiente
