c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
" studenti , superate l ’ esame finale .", voi studiate tutta la notte ., studiate tutta la notte .," guys , you leave the window open .", you all let the cat in ., let the cat in ., studiate, let
" ragazzi , lasciate la finestra aperta .", voi fate entrare il gatto ., fate entrare il gatto .," students , you pass the final exam .", you all study all night ., study all night ., fate, study
" collaboratori , consegnate il progetto .", voi rispettate la scadenza ., rispettate la scadenza .," team , you win the tournament .", you all play exceptionally ., play exceptionally ., rispettate, play
" squadra , vincete il torneo .", voi giocate in modo eccezionale ., giocate in modo eccezionale .," colleagues , you submit the project .", you all you meet the deadline ., meet the deadline ., giocate, meet
" viaggiatori , perdete l ’ autobus .", voi confondete l ’ orario ., confondete l ’ orario .," friends , you book the restaurant .", you all choose a romantic spot ., choose a romantic spot ., confondete, choose
" amici , prenotate il ristorante .", voi scegliete un posto romantico ., scegliete un posto romantico .," travelers , you miss the bus .", you all mix up the schedule ., mix up the schedule ., scegliete, mix up
" genitori , firmate il permesso .", voi dimenticate la data ., dimenticate la data .," customers , you receive the discount .", you all take advantage of the deal ., take advantage of the deal ., dimenticate, take advantage
" clienti , ricevete lo sconto .", voi approfittate dell ’ offerta ., approfittate dell ’ offerta .," parents , you sign the permission slip .", you all forget the date ., forget the date ., approfittate, forget
" dipendenti , completate il corso .", voi imparate tecniche nuove ., imparate tecniche nuove .," tourists , you visit the museum .", you all prefer the modern artworks ., prefer the modern artworks ., imparate, prefer
" turisti , visitate il museo .", voi preferite le opere moderne ., preferite le opere moderne .," employees , you complete the training .", you all learn new techniques ., learn new techniques ., preferite, learn
" atleti , correte la maratona .", voi battete il record ., battete il record .," fellow citizens , you protest in the streets .", you all demand more transparency ., demand more transparency ., battete, demand
" concittadini , protestate per le strade .", voi chiedete più trasparenza ., chiedete più trasparenza .," athletes , you run the marathon .", you all break the record ., break the record ., chiedete, break
