c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
  did you lose something ?,  it is the key that was missing .,  is the key that was missing ., cercavi qualcuno ?, ci è il ragazzo che cercavi ., è il ragazzo che cercavi ., is, è
  were you looking for someone ?,  it is the guy you were looking for .,  is the guy you were looking for ., hai perso qualcosa ?, ci è la chiave che mancava ., è la chiave che mancava ., is, è
  there ’ s noise in the street .,  it is a car honking its horn .,  is a car honking its horn ., servono volontari ., ci è lui che può aiutare ., è lui che può aiutare ., is, è
  volunteers are needed .,  it is he who can help .,  is he who can help ., c ’ è rumore in strada ., ci è un ’ auto che suona il clacson ., è un ’ auto che suona il clacson ., is, è
  a solution is needed .,  it is this the best idea .,  is this the best idea ., manca un documento ., ci è il passaporto che serve ., è il passaporto che serve ., is, è
  a document is missing .,  it is the passport that ’ s needed .,  is the passport that ’ s needed ., serve una soluzione ., ci è questa l ’ idea migliore ., è questa l ’ idea migliore ., is, è
  more time is needed .,  it is today the right day .,  is today the right day ., cercate un ristorante ?, ci è quello che vi piace ., è quello che vi piace ., is, è
  are you looking for a restaurant ?,  it is the one you like .,  is the one you like ., serve più tempo ., ci è oggi il giorno giusto ., è oggi il giorno giusto ., is, è
  an expert is needed .,  it is marco who knows everything .,  is marco who knows everything ., c ’ è un problema ., ci è luca che può risolverlo ., è luca che può risolverlo ., is, è
  there ’ s a problem .,  it is luca who can fix it .,  is luca who can fix it ., serve un esperto ., ci è marco che sa tutto ., è marco che sa tutto ., is, è
  there ’ s confusion .,  it is her who made a mistake .,  is her who made a mistake ., mancano delle firme ., ci è il direttore che deve firmare ., è il direttore che deve firmare ., is, è
  some signatures are missing .,  it is the director who must sign .,  is the director who must sign ., c ’ è confusione ., ci è lei che ha sbagliato ., è lei che ha sbagliato ., is, è
