c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 maria is tired ., maria sits on the couch and she turns on the tv ., maria sits on the couch and turns on the tv ., luca ha fame ., luca apre il frigo e lui prende un panino ., luca apre il frigo e prende un panino ., turns, prende
 luca is hungry ., luca opens the fridge and he takes a sandwich ., luca opens the fridge and takes a sandwich ., maria è stanca ., maria si siede sul divano e lei accende la tv ., maria si siede sul divano e accende la tv ., takes, accende
 elena is happy ., elena calls a friend and she shares the news ., elena calls a friend and shares the news ., paolo ha sonno ., paolo spegne la luce e lui si mette a letto ., paolo spegne la luce e si mette a letto ., shares, si mette
 paolo is sleepy ., paolo turns off the light and he gets into bed ., paolo turns off the light and gets into bed ., elena è felice ., elena chiama un ’ amica e lei racconta la notizia ., elena chiama un ’ amica e racconta la notizia ., gets, racconta
 sara is cold ., sara puts on a sweater and she moves near the fireplace ., sara puts on a sweater and moves near the fireplace ., marco è in ritardo ., marco corre alla fermata e lui salta sull ’ autobus ., marco corre alla fermata e salta sull ’ autobus ., moves, salta
 marco is late ., marco runs to the stop and he jumps on the bus ., marco runs to the stop and jumps on the bus ., sara ha freddo ., sara indossa un maglione e lei si avvicina al camino ., sara indossa un maglione e si avvicina al camino ., jumps, si avvicina
 laura is curious ., laura opens the package and she smiles ., laura opens the package and smiles ., antonio è nervoso ., antonio fa un respiro profondo e lui conta fino a dieci ., antonio fa un respiro profondo e conta fino a dieci ., smiles, conta
 antonio is nervous ., antonio takes a deep breath and he counts to ten ., antonio takes a deep breath and counts to ten ., laura è curiosa ., laura apre il pacchetto e lei sorride ., laura apre il pacchetto e sorride ., counts, sorride
 giulia is thirsty ., giulia pours a glass of water and she drinks ., giulia pours a glass of water and drinks ., roberto è confuso ., roberto legge le istruzioni e lui annuisce ., roberto legge le istruzioni e annuisce ., drinks, annuisce
 roberto is confused ., roberto reads the instructions and he nods ., roberto reads the instructions and nods ., giulia ha sete ., giulia versa un bicchiere d ’ acqua e lei beve ., giulia versa un bicchiere d ’ acqua e beve ., nods, beve
 francesca is surprised ., francesca raises her eyebrows and she whispers ., francesca raises her eyebrows and whispers ., carlo è annoiato ., carlo prende un libro e lui inizia a leggere ., carlo prende un libro e inizia a leggere ., whispers, leggere
 carlo is bored ., carlo picks up a book and he starts reading ., carlo picks up a book and starts reading ., francesca è sorpresa ., francesca alza le sopracciglia e lei sussurra ., francesca alza le sopracciglia e sussurra ., reading, sussurra
