c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 the grandparents love exploring new places ., the grandparents prefer them to travel ., the grandparents prefer to travel ., marco è timido ma ha bisogno di aiuto ., marco osa lui chiedere aiuto ., marco osa chiedere aiuto ., to travel, chiedere
 marco is shy but needs help ., marco dares him to ask help ., marco dares to ask help ., i nonni amano esplorare posti nuovi ., i nonni preferiscono loro viaggiare ., i nonni preferiscono viaggiare ., to ask, viaggiare
 the students are nervous about the exam ., the students avoid them to speak ., the students avoid to speak ., laura ha urgente bisogno di parlare col capo ., laura tenta lei telefonare ., laura tenta telefonare ., to speak, telefonare
 laura urgently needs to speak with the boss ., laura attempts her to call ., laura attempts to call ., gli studenti sono nervosi per l ’ esame ., gli studenti evitano loro parlare ., gli studenti evitano parlare ., to call, parlare
 we ’ re exhausted after the meeting ., we wish us to leave ., we wish to leave ., il bambino è stanco dopo aver pianto per ore ., il bambino smette lui piangere ., il bambino smette piangere ., to leave, piangere
 the child is tired after crying for hours ., the child stops him to cry ., the child stops to cry ., siamo esausti dopo la riunione ., noi desideriamo noi partire ., noi desideriamo partire ., to cry, partire
 the girls love singing together ., the girls start them to sing ., the girls start to sing ., giovanni vuole vincere il torneo ., giovanni spera lui vincere ., giovanni spera vincere ., to sing, vincere
 giovanni wants to win the tournament ., giovanni hopes him to win ., giovanni hopes to win ., le ragazze amano cantare insieme ., le ragazze cominciano loro cantare ., le ragazze cominciano cantare ., to win, cantare
 the tourists want to avoid the crowd ., the tourists choose them to visit in the morning ., the tourists choose to visit in the morning ., mario ha paura di sbagliare ., mario prova lui correggere gli errori ., mario prova correggere gli errori ., to visit, correggere
 mario is afraid of making mistakes ., mario tries him to correct the mistakes ., mario tries to correct the mistakes ., i turisti vogliono evitare la folla ., i turisti scelgono loro visitare di mattina ., i turisti scelgono visitare di mattina ., to correct, visitare
 the athletes must train every day ., the athletes continue them to train ., the athletes continue to train ., lucia odia alzarsi presto ., lucia rifiuta lei svegliarsi all ’ alba ., lucia rifiuta svegliarsi all ’ alba ., to train, svegliarsi
 lucia hates waking up early ., lucia refuses her to wake up at dawn ., lucia refuses to wake up at dawn ., gli atleti devono allenarsi ogni giorno ., gli atleti continuano loro esercitarsi ., gli atleti continuano esercitarsi ., to wake, esercitarsi
