c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 the results are clear ., it seems that the results are clear ., seems that the results are clear ., la luce si spegne spesso ., ci sembra che la luce si spenga ., sembra che la luce si spenga ., seems, sembra
 the light turns off often ., it seems that the light turns off ., seems that the light turns off ., i risultati sono chiari ., ci pare che i risultati siano chiari ., pare che i risultati siano chiari ., seems, pare
 the situation worsens ., it turns out that the situation worsens ., turns out that the situation worsens ., il rumore aumenta ., ci appare che il rumore aumenti ., appare che il rumore aumenti ., turns out, appare
 the noise increases ., it appears that the noise increases ., appears that the noise increases ., la situazione peggiora ., ci risulta che la situazione peggiori ., risulta che la situazione peggiori ., appears, risulta
 the temperature drops ., it seems that the temperature drops ., seems that the temperature drops ., i prezzi salgono ., ci sembra che i prezzi salgano ., sembra che i prezzi salgano ., seems, sembra
 the prices rise ., it seems that the prices rise ., seems that the prices rise ., la temperatura scende ., ci pare che la temperatura scenda ., pare che la temperatura scenda ., seems, pare
 the discussions continue ., it turns out that the discussions continue ., turns out that the discussions continue ., il progetto avanza ., ci appare che il progetto avanzi ., appare che il progetto avanzi ., turns out, appare
 the project progresses ., it appears that the project progresses ., appears that the project progresses ., le discussioni continuano ., ci risulta che le discussioni continuino ., risulta che le discussioni continuino ., appears, risulta
 the requests grow ., it seems that the requests grow ., seems that the requests grow ., il traffico rallenta ., ci sembra che il traffico rallenti ., sembra che il traffico rallenti ., seems, sembra
 the traffic slows ., it seems that the traffic slows ., seems that the traffic slows ., le richieste crescono ., ci pare che le richieste crescano ., pare che le richieste crescano ., seems, pare
 the deadlines approach ., it turns out that the deadlines approach ., turns out that the deadlines approach ., il problema persiste ., ci appare che il problema persista ., appare che il problema persista ., turns out, appare
 the problem persists ., it appears that the problem persists ., appears that the problem persists ., le scadenze si avvicinano ., ci risulta che le scadenze si avvicinino ., risulta che le scadenze si avvicinino ., appears, risulta
