c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 we visited the new office ., we appreciate the modern space ., appreciate the modern space ., abbiamo esaminato il contratto ., noi concordiamo con i termini ., concordiamo con i termini ., appreciate, concordiamo
 we reviewed the contract ., we agree with the terms ., agree with the terms ., abbiamo visitato la nuova sede ., noi apprezziamo lo spazio moderno ., apprezziamo lo spazio moderno ., agree, apprezziamo
 we tried the restaurant ., we prefer the traditional dishes ., prefer the traditional dishes ., abbiamo ascoltato la presentazione ., noi condividiamo le sue conclusioni ., condividiamo le sue conclusioni ., prefer, condividiamo
 we listened to the presentation ., we share his conclusions ., share his conclusions ., abbiamo provato il ristorante ., noi preferiamo i piatti tradizionali ., preferiamo i piatti tradizionali ., share, preferiamo
 we received the feedback ., we accept the constructive criticism ., accept the constructive criticism ., abbiamo discusso il progetto ., noi sosteniamo questa strategia ., sosteniamo questa strategia ., accept, sosteniamo
 we discussed the project ., we support this strategy ., support this strategy ., abbiamo ricevuto il feedback ., noi accettiamo le critiche costruttive ., accettiamo le critiche costruttive ., support, accettiamo
 we analyzed the data ., we confirm the initial trends ., confirm the initial trends ., abbiamo finito l ’ allenamento ., noi sentiamo i muscoli affaticati ., sentiamo i muscoli affaticati ., confirm, sentiamo
 we finished the workout ., we feel our muscles tired ., feel our muscles tired ., abbiamo analizzato i dati ., noi confermiamo le tendenze iniziali ., confermiamo le tendenze iniziali ., feel, confermiamo
 we met the team ., we notice great teamwork ., notice great teamwork ., abbiamo visto il documentario ., noi crediamo nel suo messaggio ., crediamo nel suo messaggio ., notice, crediamo
 we watched the documentary ., we believe in its message ., believe in its message ., abbiamo incontrato il team ., noi notiamo una grande collaborazione ., notiamo una grande collaborazione ., believe, notiamo
 we planned the meeting ., we suggest a different time ., suggest a different time ., abbiamo superato gli ostacoli ., noi celebriamo questo successo ., celebriamo questo successo ., suggest, celebriamo
 we overcame the obstacles ., we celebrate this success ., celebrate this success ., abbiamo pianificato la riunione ., noi suggeriamo un orario diverso ., suggeriamo un orario diverso ., celebrate, suggeriamo
