c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 ho visto il nuovo film ., io penso che la trama sia originale ., penso che la trama sia originale ., i just finished the project ., i believe that the result is satisfactory ., believe that the result is satisfactory ., penso, believe
 ho appena finito il progetto ., io credo che il risultato sia soddisfacente ., credo che il risultato sia soddisfacente ., i saw the new movie ., i think that the plot is original ., think that the plot is original ., credo, think
 ho ascoltato la tua proposta ., io accetto le tue condizioni ., accetto le tue condizioni ., i read your message ., i understand your concerns ., understand your concerns ., accetto, understand
 ho letto il tuo messaggio ., io capisco le tue preoccupazioni ., capisco le tue preoccupazioni ., i listened to your proposal ., i accept your terms ., accept your terms ., capisco, accept
 ho controllato i dati ., io confermo l ' accuratezza dei numeri ., confermo l ' accuratezza dei numeri ., i visited the art exhibition ., i appreciate the artist ' s style ., appreciate the artist ' s style ., confermo, appreciate
 ho visitato la mostra d ' arte ., io apprezzo lo stile dell ' artista ., apprezzo lo stile dell ' artista ., i checked the data ., i confirm the accuracy of the numbers ., confirm the accuracy of the numbers ., apprezzo, confirm
 ho ricevuto il pacco ., io verifico il contenuto ., verifico il contenuto ., i prepared dinner ., i hope that the taste is good ., hope that the taste is good ., verifico, hope
 ho preparato la cena ., io spero che il gusto sia buono ., spero che il gusto sia buono ., i received the package ., i check the contents ., check the contents ., spero, check
 ho incontrato il nuovo collega ., io trovo la sua presenza motivante ., trovo la sua presenza motivante ., i completed the exercise ., i feel that i have improved ., feel that have improved ., trovo, feel
 ho completato l ' esercizio ., io sento che ho migliorato ., sento che ho migliorato ., i met the new colleague ., i find his presence motivating ., find his presence motivating ., sento, find
 ho seguito il corso online ., io imparo molte cose nuove ., imparo molte cose nuove ., i analyzed the problem ., i suggest an alternative solution ., suggest an alternative solution ., imparo, suggest
 ho analizzato il problema ., io suggerisco una soluzione alternativa ., suggerisco una soluzione alternativa ., i took the online course ., i learn many new things ., learn many new things ., suggerisco, learn
