c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 i nonni amano esplorare posti nuovi ., i nonni preferiscono loro viaggiare ., i nonni preferiscono viaggiare ., marco is shy but needs help ., marco dares him to ask help ., marco dares to ask help ., viaggiare, to ask
 marco è timido ma ha bisogno di aiuto ., marco osa lui chiedere aiuto ., marco osa chiedere aiuto ., the grandparents love exploring new places ., the grandparents prefer them to travel ., the grandparents prefer to travel ., chiedere, to travel
 gli studenti sono nervosi per l ’ esame ., gli studenti evitano loro parlare ., gli studenti evitano parlare ., laura urgently needs to speak with the boss ., laura attempts her to call ., laura attempts to call ., parlare, to call
 laura ha urgente bisogno di parlare col capo ., laura tenta lei telefonare ., laura tenta telefonare ., the students are nervous about the exam ., the students avoid them to speak ., the students avoid to speak ., telefonare, to speak
 siamo esausti dopo la riunione ., noi desideriamo noi partire ., noi desideriamo partire ., the child is tired after crying for hours ., the child stops him to cry ., the child stops to cry ., partire, to cry
 il bambino è stanco dopo aver pianto per ore ., il bambino smette lui piangere ., il bambino smette piangere ., we ’ re exhausted after the meeting ., we wish us to leave ., we wish to leave ., piangere, to leave
 le ragazze amano cantare insieme ., le ragazze cominciano loro cantare ., le ragazze cominciano cantare ., giovanni wants to win the tournament ., giovanni hopes him to win ., giovanni hopes to win ., cantare, to win
 giovanni vuole vincere il torneo ., giovanni spera lui vincere ., giovanni spera vincere ., the girls love singing together ., the girls start them to sing ., the girls start to sing ., vincere, to sing
 i turisti vogliono evitare la folla ., i turisti scelgono loro visitare di mattina ., i turisti scelgono visitare di mattina ., mario is afraid of making mistakes ., mario tries him to correct the mistakes ., mario tries to correct the mistakes ., visitare, to correct
 mario ha paura di sbagliare ., mario prova lui correggere gli errori ., mario prova correggere gli errori ., the tourists want to avoid the crowd ., the tourists choose them to visit in the morning ., the tourists choose to visit in the morning ., correggere, to visit
 gli atleti devono allenarsi ogni giorno ., gli atleti continuano loro esercitarsi ., gli atleti continuano esercitarsi ., lucia hates waking up early ., lucia refuses her to wake up at dawn ., lucia refuses to wake up at dawn ., esercitarsi, to wake
 lucia odia alzarsi presto ., lucia rifiuta lei svegliarsi all ’ alba ., lucia rifiuta svegliarsi all ’ alba ., the athletes must train every day ., the athletes continue them to train ., the athletes continue to train ., svegliarsi, to train
