c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
 the keys disappeared ., they were on the table yesterday ., were on the table yesterday ., i turisti hanno perso l ’ autobus ., loro hanno chiamato un taxi ., hanno chiamato un taxi ., were, hanno
 the tourists missed the bus ., they called a taxi ., called a taxi ., le chiavi sono sparite ., loro erano sul tavolo ieri ., erano sul tavolo ieri ., called, erano
 the documents are ready ., they will be signed tomorrow ., will be signed tomorrow ., gli studenti hanno protestato ., loro vogliono più risorse ., vogliono più risorse ., will, vogliono
 the students protested ., they want more resources ., want more resources ., i documenti sono pronti ., loro saranno firmati domani ., saranno firmati domani ., want, saranno
 the plants wilted ., they didn ’ t get water ., didn ’ t get water ., i bambini hanno finito i compiti ., loro possono giocare ora ., possono giocare ora ., didn ' t, possono
 the children finished their homework ., they can play now ., can play now ., le piante sono appassite ., loro non hanno avuto acqua ., non hanno avuto acqua ., can, non hanno
 the windows were open ., they let the cold in ., let the cold in ., i colleghi hanno criticato il piano ., loro preferiscono un ’ altra opzione ., preferiscono un ’ altra opzione ., let, preferiscono
 the colleagues criticized the plan ., they prefer another option ., prefer another option ., le finestre erano aperte ., loro hanno lasciato entrare il freddo ., hanno lasciato entrare il freddo ., prefer, hanno
 the emails contain mistakes ., they need to be corrected ., need to be corrected ., gli ospiti sono arrivati ., loro stanno aspettando in sala ., stanno aspettando in sala ., need, stanno
 the guests have arrived ., they are waiting in the lounge ., are waiting in the lounge ., le email contengono errori ., loro devono essere corrette ., devono essere corrette ., are, devono
 the shoes are wet ., they got caught in the rain ., got caught in the rain ., i libri sono caduti ., loro erano sullo scaffale alto ., erano sullo scaffale alto ., got, erano
 the books fell ., they were on the high shelf ., were on the high shelf ., le scarpe sono bagnate ., loro hanno preso la pioggia ., hanno preso la pioggia ., were, hanno
