c_p,p_overt,p_null,c_t,t_overt,t_null,hotspot_p,hotspot_t
" marco , you see the new movie tonight .", you prefer complex plots ., prefer complex plots .," luca , dimentichi le chiavi spesso .", tu prendi le chiavi prima di uscire ., prendi le chiavi prima di uscire ., prefer, prendi
" luca , you forget the keys often .", you take the keys before leaving ., take the keys before leaving .," marco , vedi il nuovo film stasera .", tu preferisci le trame complesse ., preferisci le trame complesse ., take, preferisci
" giulia , you finish the report today .", you include all the data ., include all the data .," sara , cucini la cena velocemente .", tu usi troppe spezie ., usi troppe spezie ., include, usi
" sara , you cook dinner quickly .", you use too many spices ., use too many spices .," giulia , finisci il rapporto oggi .", tu includi tutti i dati ., includi tutti i dati ., use, includi
" elena , you listen to the new song .", you appreciate the rhythm ., appreciate the rhythm .," paolo , scegli il regalo stasera .", tu consideri i suoi gusti ., consideri i suoi gusti ., appreciate, consideri
" paolo , you choose the gift tonight .", you consider their tastes ., consider their tastes .," elena , ascolti la nuova canzone .", tu apprezzi il ritmo ., apprezzi il ritmo ., consider, apprezzi
" laura , you order the food for the party .", you select vegetarian dishes ., select vegetarian dishes .," roberto , leggi il libro consigliato .", tu trovi il finale sorprendente ., trovi il finale sorprendente ., select, trovi
" roberto , you read the recommended book .", you find the ending surprising ., find the ending surprising .," laura , ordini il cibo per la festa .", tu selezioni piatti vegetariani ., selezioni piatti vegetariani ., find, selezioni
" chiara , you organize the event tomorrow .", you coordinate all the details ., coordinate all the details .," matteo , completi il puzzle oggi .", tu impieghi solo un ’ ora ., impieghi solo un ’ ora ., coordinate, impieghi
" matteo , you complete the puzzle today .", you take only an hour ., take only an hour .," chiara , organizzi l ’ evento domani .", tu coordini tutti i dettagli ., coordini tutti i dettagli ., take, coordini
" francesca , you plant the flowers today .", you choose bright colors ., choose bright colors .," antonio , ripari la bicicletta .", tu sostituisci la catena rotta ., sostituisci la catena rotta ., choose, sostituisci
" antonio , you fix the bicycle .", you replace the broken chain ., replace the broken chain .," francesca , pianti i fiori oggi .", tu scegli colori vivaci ., scegli colori vivaci ., replace, scegli
